,active
2014-10-05 00:00:00+01:00,516.90497
2014-10-05 00:00:10+01:00,518.25
2014-10-05 00:00:20+01:00,520.19403
2014-10-05 00:00:30+01:00,519.614
2014-10-05 00:00:40+01:00,519.791
2014-10-05 00:00:50+01:00,520.203
2014-10-05 00:01:00+01:00,518.351
2014-10-05 00:01:10+01:00,516.775
2014-10-05 00:01:20+01:00,516.599
2014-10-05 00:01:30+01:00,516.937
2014-10-05 00:01:40+01:00,516.301
2014-10-05 00:01:50+01:00,516.151
2014-10-05 00:02:00+01:00,516.472
2014-10-05 00:02:10+01:00,516.28503
2014-10-05 00:02:20+01:00,516.659
2014-10-05 00:02:30+01:00,517.16003
2014-10-05 00:02:40+01:00,519.375
2014-10-05 00:02:50+01:00,521.356
2014-10-05 00:03:00+01:00,517.947
2014-10-05 00:03:10+01:00,518.723
2014-10-05 00:03:20+01:00,517.945
2014-10-05 00:03:30+01:00,518.177
2014-10-05 00:03:40+01:00,518.532
2014-10-05 00:03:50+01:00,518.23
2014-10-05 00:04:00+01:00,518.276
2014-10-05 00:04:10+01:00,518.629
2014-10-05 00:04:20+01:00,518.589
2014-10-05 00:04:30+01:00,518.309
2014-10-05 00:04:40+01:00,518.212
2014-10-05 00:04:50+01:00,517.61
2014-10-05 00:05:00+01:00,517.951
2014-10-05 00:05:10+01:00,517.993
2014-10-05 00:05:20+01:00,518.331
2014-10-05 00:05:30+01:00,517.919
2014-10-05 00:05:40+01:00,517.307
2014-10-05 00:05:50+01:00,516.936
2014-10-05 00:06:00+01:00,515.21497
2014-10-05 00:06:10+01:00,515.11597
2014-10-05 00:06:20+01:00,515.362
2014-10-05 00:06:30+01:00,515.219
2014-10-05 00:06:40+01:00,514.71497
2014-10-05 00:06:50+01:00,514.998
2014-10-05 00:07:00+01:00,515.221
2014-10-05 00:07:10+01:00,514.421
2014-10-05 00:07:20+01:00,514.284
2014-10-05 00:07:30+01:00,513.98
2014-10-05 00:07:40+01:00,514.355
2014-10-05 00:07:50+01:00,515.525
2014-10-05 00:08:00+01:00,515.743
2014-10-05 00:08:10+01:00,515.705
2014-10-05 00:08:20+01:00,516.314
2014-10-05 00:08:30+01:00,515.462
2014-10-05 00:08:40+01:00,515.734
2014-10-05 00:08:50+01:00,515.541
2014-10-05 00:09:00+01:00,515.579
2014-10-05 00:09:10+01:00,515.855
2014-10-05 00:09:20+01:00,515.933
2014-10-05 00:09:30+01:00,516.026
2014-10-05 00:09:40+01:00,516.257
2014-10-05 00:09:50+01:00,516.935
2014-10-05 00:10:00+01:00,516.482
2014-10-05 00:10:10+01:00,516.253
2014-10-05 00:10:20+01:00,516.159
2014-10-05 00:10:30+01:00,515.832
2014-10-05 00:10:40+01:00,515.71
2014-10-05 00:10:50+01:00,514.893
2014-10-05 00:11:00+01:00,515.032
2014-10-05 00:11:10+01:00,514.761
2014-10-05 00:11:20+01:00,515.41003
2014-10-05 00:11:30+01:00,515.79004
2014-10-05 00:11:40+01:00,515.349
2014-10-05 00:11:50+01:00,517.381
2014-10-05 00:12:00+01:00,514.935
2014-10-05 00:12:10+01:00,515.423
2014-10-05 00:12:20+01:00,513.846
2014-10-05 00:12:30+01:00,514.597
2014-10-05 00:12:40+01:00,517.801
2014-10-05 00:12:50+01:00,519.064
2014-10-05 00:13:00+01:00,520.466
2014-10-05 00:13:10+01:00,521.373
2014-10-05 00:13:20+01:00,522.073
2014-10-05 00:13:30+01:00,521.37695
2014-10-05 00:13:40+01:00,520.833
2014-10-05 00:13:50+01:00,520.345
2014-10-05 00:14:00+01:00,537.846
2014-10-05 00:14:10+01:00,538.389
2014-10-05 00:14:20+01:00,538.61273
2014-10-05 00:14:30+01:00,538.5189
2014-10-05 00:14:40+01:00,538.411
2014-10-05 00:14:50+01:00,538.69183
2014-10-05 00:15:00+01:00,537.995
2014-10-05 00:15:10+01:00,537.278
2014-10-05 00:15:20+01:00,522.597
2014-10-05 00:15:30+01:00,516.951
2014-10-05 00:15:40+01:00,515.201
2014-10-05 00:15:50+01:00,514.528
2014-10-05 00:16:00+01:00,514.058
2014-10-05 00:16:10+01:00,514.085
2014-10-05 00:16:20+01:00,514.114
2014-10-05 00:16:30+01:00,512.985
2014-10-05 00:16:40+01:00,513.659
2014-10-05 00:16:50+01:00,513.501
2014-10-05 00:17:00+01:00,512.144
2014-10-05 00:17:10+01:00,511.884
2014-10-05 00:17:20+01:00,512.035
2014-10-05 00:17:30+01:00,511.515
2014-10-05 00:17:40+01:00,511.863
2014-10-05 00:17:50+01:00,511.102
2014-10-05 00:18:00+01:00,510.841
2014-10-05 00:18:10+01:00,509.953
2014-10-05 00:18:20+01:00,511.279
2014-10-05 00:18:30+01:00,509.959
2014-10-05 00:18:40+01:00,510.195
2014-10-05 00:18:50+01:00,510.30402
2014-10-05 00:19:00+01:00,510.596
2014-10-05 00:19:10+01:00,510.047
2014-10-05 00:19:20+01:00,509.585
2014-10-05 00:19:30+01:00,510.853
2014-10-05 00:19:40+01:00,509.736
2014-10-05 00:19:50+01:00,509.947
2014-10-05 00:20:00+01:00,510.32098
2014-10-05 00:20:10+01:00,510.81
2014-10-05 00:20:20+01:00,510.297
2014-10-05 00:20:30+01:00,510.712
2014-10-05 00:20:40+01:00,510.81
2014-10-05 00:20:50+01:00,513.24
2014-10-05 00:21:00+01:00,510.009
2014-10-05 00:21:10+01:00,510.52
2014-10-05 00:21:20+01:00,510.816
2014-10-05 00:21:30+01:00,510.501
2014-10-05 00:21:40+01:00,510.105
